S3 Link,url,bread_crumb1,bread_crumb2,bread_crumb3,title,customer_star_ratings_delivery,customer_star_ratings_dining,latitude,longitude,restaurant_id,serves_cuisine,timing,address,pincode,contact_information,order_online_available,order_online_currently_available,hygiene_information,image_url,license_number,no_of_customer_reviews_delivery,no_of_customer_reviews_dining,price_range,promo_offer,restaurant_availability_status,website_sku
http://smt-tools.amazon.com/s3resource?id=7ebfa1e0-4377-11ec-b68a-d1c897dd9a95&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/sweet-truth-hsr,Bengaluru,South Bangalore,Electronic City,Sweet Truth - Cake and Desserts,4.1,,12.91202135,77.65166089,18551697,"Bakery, Desserts",9am â€“ 1am (Today),"Shop 2318,BDA Society,Sector-1,HSR,Bangalore,India",,919990000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/3/18551643/23683d2358374bc2ab84a376e058eb7a.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18551643/f2f33ff4d76779e2e2a1769ea4c5f47f.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18551643/5c2ac04ca2ea72720dc54b0b645b1f4a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"1,142",0,â‚¹200 for two people (approx.),,,ncr/hot-and-spicy-sector-41-noida
http://smt-tools.amazon.com/s3resource?id=80b878c0-4384-11ec-8fb7-b5da281b55ca&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/kanti-sweets-1-vijay-nagar,Bengaluru,West Bangalore,Electronic City,Kanti Sweets,4.4,3.1,12.96087555,77.52793293,18630484,"Mithai, Desserts, Street Food",Opens at 9:30am,"7/7,80 Feet Road,Chandra Layout,Vijay Nagar,Bangalore,India",,918077000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/0/50550/0c47221fbb423d8d54ea8b55e9a84313.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/0/50550/c50c8253b27aaf1c58b210adbfb6b35a.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/0/50550/63c41918221dbec421ae5c8e2cd6e006.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/0/50550/44ca7844aaecaec11fa39074aff24799.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"1,074",25,â‚¹300 for two people (approx.),,,ncr/punjabi-tandoori-tadka-geeta-colony-new-delhi
http://smt-tools.amazon.com/s3resource?id=fa2df6a0-4300-11ec-9e7b-cd13afde6673&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/sri-rajasthani-foods-jp-nagar-bangalore,Bengaluru,South Bangalore,Koramangala 1st Block,Sri Rajasthani Foods,4,3.7,12.89977735,77.58549327,18722893,"Rajasthani, Chinese",Opens at 11am,"08,Shankar Raju Building,24th Main Road,5th Phase,JP Nagar,Bangalore,India",,917021000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/3/18722893/fbf15609f4eee2c3a1124525cde010fa.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18722893/057f90ffbc73854dddea477aa6b85ecf.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/43b/be99cb99b889867c8936fda2fe5bd43b_1581156646.jpeg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/reviews_photos/205/843b8bbfad44a6f8ac07993851419205_1550331290.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",21200000000000,"6,775",52,â‚¹250 for two people (approx.),,,mumbai/andey-ka-funda-nalasopara
http://smt-tools.amazon.com/s3resource?id=9fc08f00-4334-11ec-b5ff-275aade2432f&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/goli-vada-pav-no-1-bellandur,Bengaluru,South Bangalore,BTM,Goli Vada Pav No. 1,4.2,3.1,12.92281854,77.67575752,56816,"Street Food, Fast Food, Desserts",Opens tomorrow at 11am,"76/2B,4,Main Road,Bellandur,Bangalore,India",,919030000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/4/57064/d6af5723e4c0a4077e57ea9364e89a8a.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/51403/77f2282be0dd0de402fbd391a0d1ccd9.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/51403/e81ae1a7d943ecfee217f00b2017a0df.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/51403/3904f037d890b5469920d5fa71db0e0f.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",21200000000000,"2,469",83,â‚¹350 for one order (approx.),,Currently closed for online ordering,mumbai/baskin-robbins-2-kandivali-east
http://smt-tools.amazon.com/s3resource?id=bae994e0-4369-11ec-bcba-99842a414723&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/behrouz-biryani-vasanth-nagar-bangalore,Bengaluru,Central Bangalore,Electronic City,Behrouz Biryani,4.2,,12.99456907,77.59380095,18362396,"Biryani, Mughlai, Kebab",10am â€“ 1am (Today),"17,1st Floor,1st Main Road,Vasanth Nagar,Bangalore,India",,"+919811511612, +919990305305, +919811704480",Yes,No,,"https://b.zmtcdn.com/data/pictures/3/18343993/e559b2aee1b89bd6c7e1cef2a5290173.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18343993/9aa3684ebd65e5bbc8003ea5ce875643.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18343993/af2a70f2082281c20074e5be0c30466c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/3/18343993/32c254de6bd70c1edc4e4bdbc732c5f2.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"2,372",0,â‚¹300 for two people (approx.),,Currently closed for online ordering,ncr/delhi-grillz-azadpur-new-delhi
http://smt-tools.amazon.com/s3resource?id=6e55d900-434f-11ec-a658-8983c6ccc756&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/by-2-coffee-nagarbhavi-bangalore,Bengaluru,West Bangalore,Brookefield,By 2 Coffee,4.1,3.8,12.97270208,77.5116764,18679669,South Indian,Opens at 7am,"376,2nd Cross,6th Main,7th Block,Nagarbhavi,Bangalore,India",,"+917042436477, +918527839282, +918287668328",Yes,No,,"https://b.zmtcdn.com/data/pictures/5/57785/1301e288af42719a2bddb2105b3cbbd7.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/9/18679669/e99eda216844637d9115483d78d1e998.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/5/57785/e99eda216844637d9115483d78d1e998.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/5/57785/e72eec638b72620c8e5f718b20121654.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"6,901",94,"â‚¹2,000 for two people (approx.)",,Currently closed for online ordering,ncr/tunik-punjabi-kitchen-crossing-republik-ghaziabad
http://smt-tools.amazon.com/s3resource?id=75467ea0-4358-11ec-bbfd-43ab8cbd67fb&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/punjab-grill-whitefield-bangalore,Bengaluru,East Bangalore,Indiranagar,Punjab Grill,4.1,4.4,12.9893534,77.7283305,18801352,"North Indian, Mughlai, Kebab, Biryani, Desserts",Opens at 11am,"Ground Floor,Forum Shantiniketan,Whitefield Main Road,Hoodi,Whitefield,Bangalore,India",,"+919912818951, +914024071405",Yes,No,,"https://b.zmtcdn.com/data/pictures/2/18801352/0a14e303444e3a4e1b80c2eaa26f5765.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/2/18801352/0cd5ee0bc3fcc9254e7497b7f77a7102.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/2/18801352/41ce428441d888df00cfb45e11f3a8a8.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/2/18801352/3c6a223b52cfc3752136a2b6e55fa528.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"1,025","1,259",â‚¹200 for two people (approx.),,Currently closed for online ordering,hyderabad/new-balaji-santosh-dhaba-saroor-nagar
http://smt-tools.amazon.com/s3resource?id=4f8f08c0-4363-11ec-a4e5-017a67cc80fa&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/jashn-marathahalli,Bengaluru,East Bangalore,JP Nagar,Jashn,4.1,3.1,12.93883405,77.69495677,18346338,"North Indian, Biryani, Beverages, Desserts, Shake","Temporarily closed, will be back soon!","20/5,Panathur Junction,Outer Ring Road,Kadubeessanahalli,Marathahalli,Bangalore,D and N Enterprises,India",,918801000000,No,NA,,"https://b.zmtcdn.com/data/pictures/8/18346338/eb97294c4dc11197a5fe66f51d839e24.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/8/18346338/b9b6025bd8fce4a00a90fa1deb9e52ee.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/8/18346338/0b7b6544b0e7b19faf95c7132bb284c9.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/chains/8/18346338/309be35b5de58fa782a31d779b50374f.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",,"1,276",123,â‚¹100 for one order (approx.),,Currently closed for online ordering,hyderabad/spicy-noodles-corner-kukatpally
http://smt-tools.amazon.com/s3resource?id=0a74ce00-4304-11ec-937f-bd5d6c76f01a&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/rolls-on-wheels-1-basavanagudi-bangalore,Bengaluru,South Bangalore,Rajajinagar,Rolls On Wheels,4.2,3.2,12.94030677,77.56457258,58037,"Rolls, Fast Food",Opens tomorrow at 10:30am,"8,3rd Main Road,Mount Joy Road,Hanumanth Nagar,Basavanagudi,Bangalore,India",,917738000000,Yes,No,,"https://b.zmtcdn.com/data/pictures/chains/7/54787/8a3b14f5f476e41b77203ed906387042.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/chains/7/54787/b40627041aa7612853204eee2494435c.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/7/58037/7c67cc54dd2c9262c4596f9d829d044e.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/7/58037/5c883d5e5333f25bc8aec426684a3537.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"1,901",121,â‚¹600 for two people (approx.),,,mumbai/pocket-snacks-corner-khar
http://smt-tools.amazon.com/s3resource?id=a2ab07c0-4313-11ec-9b8a-37e7282330c5&resourceType=crawledpages&encryption=false,https://www.zomato.com/bangalore/kabab-mirchi-marathahalli,Bengaluru,East Bangalore,Kadubeesanahalli,Kabab Mirchi,4.1,3.3,12.95567911,77.69181792,55036,"North Indian, Mughlai, Chinese",11am â€“ 11pm (Today),"21/1-58,Car Mansion,Marathahalli Main Road,Marathahalli,Bangalore,India",,918656000000,Yes,Yes,,"https://b.zmtcdn.com/data/reviews_photos/87a/09659ea8c022bb82805da8542199387a_1509816641.jpg?output-format=webp&fit=around|771.75:416.25&crop=771.75:416.25;*,*|https://b.zmtcdn.com/data/pictures/6/55036/0c6f76ada9b4a1a3813c8cd6f3322365.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/6/55036/63c986dcd57ac829ef4eb311c1568c80.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*|https://b.zmtcdn.com/data/pictures/6/55036/3d93ae1077037b47abd648a2b58a6861.jpg?output-format=webp&fit=around|300:273&crop=300:273;*,*",11200000000000,"1,015",154,â‚¹300 for two people (approx.),,Currently closed for online ordering,mumbai/tea-and-conversations-mulund-east
